confirm-default-property-not-used-in-project,'{key}' is currently not used as an annotation property key in this project.<br> Are you sure you want to use it as default property?,"Actuellement, aucune annotation de ce projet n'est associée à une propriété ayant pour clé '{key}'.<br> Êtes-vous sûr de vouloir l'utiliser comme propriété par défaut",&#39;{clave}&#39; no se utiliza actualmente como una clave de propiedad de anotación en este proyecto. <br> ¿Seguro que quiere usarla como propiedad predeterminada?,Momenteel zijn er geen annotaties in dit project gekoppeld aan een eigenschap met sleutel '{key}'.<br>Weet u zeker dat u deze als de standaardeigenschap wilt gebruiken,'{key}' は現在このプロジェクトでアノテーションのプロパティキーとして使用されていません。<br>デフォルトプロパティとして使用してもよろしいですか？
confirm-default-property,Confirm default property,Confirmer la propriété par défaut,Confirme la propiedad predeterminada,Eigenschap bevestigen door uitsluiting,デフォルトプロパティの確認
confirm-deletion-annotation,Are you sure you want to delete this annotation?,Êtes-vous sûr de vouloir supprimer cette annotation?,¿Estás seguro de que deseas eliminar esta anotación?,Bent u zeker dat u deze annotatie wilt verwijderen?,このアノテーションを削除してもよろしいですか？
confirm-deletion,Confirm deletion,Confirmer la suppression,Confirmar la eliminación,Verwijdering bevestigen,削除の確認
confirm-deletion-attached-file,Do you really want to delete attached file {filename}?,Êtes-vous sûr de vouloir supprimer le fichier joint {filename} ?,¿Realmente desea eliminar el archivo adjunto {filename}?,Bent u zeker dat u het bijgevoegde file {filename} wilt verwijderen?,添付ファイル {filename} を本当に削除しますか？
confirm-deletion-annotation-link,Are you sure you want to delete the links of this annotation?,Êtes-vous sûr de vouloir supprimer les liens de cette annotation ?,¿Está seguro de que desea eliminar los enlaces de esta anotación?,Weet u zeker dat u de links van deze annotatie wilt verwijderen?,このアノテーションのリンクを削除してもよろしいですか？
confirm-deletion-file,Are you sure you want to delete this file?,Êtes-vous sûr de vouloir supprimer ce fichier ?,¿Está seguro de que desea eliminar este archivo?,Bent u zeker dat u dit file wilt verwijderen?,このファイルを削除してもよろしいですか？
confirm-deletion-ontology,Are you sure you want to delete ontology {name}?,Êtes-vous sûr de vouloir supprimer l'ontologie {name} ?,¿Está seguro de que desea eliminar la ontología {name}?,Bent u zeker dat u de ontologie {name} wilt verwijderen?,オントロジー {name} を削除してもよろしいですか？
confirm-deletion-run,Are you sure you want to delete this run?,Êtes-vous sûr de vouloir supprimer cette exécution ?,¿Está seguro de que desea eliminar esta ejecución?,Weet u zeker dat u deze run wilt verwijderen?,この実行を削除してもよろしいですか？
confirm-deletion-store,Are you sure you want to delete this store?,Êtes-vous sûr de vouloir supprimer ce magasin ?,¿Está seguro de que desea eliminar esta tienda?,Bent u zeker dat u deze winkel wilt verwijderen?,このストアを削除してもよろしいですか？
confirm-deletion-term,Are you sure you want to delete term {name}?,Êtes-vous sûr de vouloir supprimer le terme {name} ?,¿Seguro que quiere eliminar el término {name}?,Bent u zeker dat u de term {name} wilt verwijderen?,用語 {name} を削除してもよろしいですか？
confirm-deletion-track,Are you sure you want to delete track {name}?,Etes-vous certain de vouloir supprimer la trace {name} ?,,Bent u zeker dat u de {name}-tracering wilt verwijderen?,トラック {name} を削除してもよろしいですか？
confirm-ontology-change-delete-user-terms,Some members of this project have associated terms to annotations ({count} associations). <br> Are you sure you want to delete those associations to change the ontology?,Des membres du projet ont associé des termes à des annotations ({count} associations). Êtes-vous sûr de vouloir supprimer ces associations ?,Algunos miembros de este proyecto tienen términos asociados a anotaciones ({count} asociaciones). <br> ¿Está seguro de que desea eliminar esas asociaciones para cambiar la ontología?,Projectleden hebben termen gekoppeld aan annotaties ({count} associaties). Weet u zeker dat u deze koppelingen wilt verwijderen?,このプロジェクトの一部のメンバーがアノテーションに用語を関連付けています（{count} 件の関連付け）。<br>オントロジーを変更するためにそれらの関連付けを削除してもよろしいですか？
confirm-ontology-change,Confirm ontology change,Confirmer le changement d'ontologie,Confirmar cambio de ontología,Bevestig de wijziging van de ontologie,オントロジー変更の確認
confirm-profile-computation,Confirm profile computation,Confirmer le calcul du profil,Confirmar cálculo de perfil,Bevestig profielberekening,プロファイル計算の確認
confirm-unlink-view-to-track,"This view is linked with another one on which you are following a user. This may cause conflicts and flickering behaviour. If you confirm, this view will be unlinked from any other to prevent such conflict.","Cette image est synchronisée avec une autre image dans laquelle vous suivez un utilisateur. Cela pourrait mener à des conflits et à un comportement erratique. Si vous confirmez, la synchronisation sera interrompue de façon à éviter un tel conflit","Esta vista está vinculada con otra en la que está siguiendo a un usuario. Esto puede causar conflictos y parpadeos. Si confirma, esta vista se desvinculará de cualquier otra para evitar conflictos.","Deze afbeelding wordt gesynchroniseerd met een andere afbeelding waarin u een gebruiker volgt. Dit kan leiden tot conflicten en grillig gedrag. Als u bevestigt, wordt de synchronisatie onderbroken om een ??dergelijk conflict te vermijden",このビューは、ユーザーをフォロー中の別のビューとリンクされています。競合やちらつきが発生する可能性があります。確認すると、このビューは競合を防ぐために他のビューとのリンクが解除されます。
confirm-profile-computation-message,Are you sure to ask for profile computation for this image (possibly slow)?,Etes-vous certain de demander le calcul du profil pour cette image (potentiellement lent) ?,¿Está seguro de solicitar el cálculo del perfil para esta imagen (posiblemente lento)?,Weet u zeker dat u om profielberekening voor deze afbeelding vraagt ​​(mogelijk langzaam)?,この画像のプロファイル計算をリクエストしてもよろしいですか（処理に時間がかかる場合があります）？
confirm-untrack-to-link-view,"This view is currently synchronized with that of another user. This may cause conflicts and flickering behaviour. If you confirm, the tracking of this user will be cancelled.","Cette image est actuellement synchronisée avec les mouvements d'un autre utilisateur. Cela pourrait mener à des conflits et à un comportement erratique. Si vous confirmez, la synchronisation sera interrompue de façon à éviter un tel conflit","Esta vista está actualmente sincronizada con la de otro usuario. Esto puede causar conflictos y parpadeos. Si confirma, se cancelará el seguimiento de este usuario.","Dit beeld wordt momenteel gesynchroniseerd met de bewegingen van een andere gebruiker. Dit kan leiden tot conflicten en grillig gedrag. Als u bevestigt, wordt de synchronisatie onderbroken om een ??dergelijk conflict te vermijden",このビューは現在、別のユーザーのビューと同期されています。競合やちらつきが発生する可能性があります。確認すると、このユーザーのトラッキングがキャンセルされます。
connections-chart,Connections chart,Graphique des connexions,Gráfico de conexiones,Verbindingen grafiek,接続チャート
contact-info,You can contact the Cytomine Team at {contactMail},Vous pouvez contacter l'équipe de Cytomine à l'adresse {contactMail}.,Puede ponerse en contacto con el equipo de Cytomine en {contactMail},U kunt contact opnemen met het Cytomine-team via {contactMail}.,Cytomineチームへのお問い合わせは {contactMail} までご連絡ください。
contact,Contact,Contact,Contacto,Contact,お問い合わせ
content-type,Content type,Type de contenu,Tipo de contenido,Inhoudstype,コンテンツタイプ
contrast,Contrast,Contraste,Contraste,Contrast,コントラスト
contributor-icon-label,You are a contributor of this project,Vous êtes un contributeur du projet,Usted es un colaborador de este proyecto.,U bent een projectmedewerker,あなたはこのプロジェクトのコントリビューターです。
contributor,Contributor,Contributeur,Colaborador,Contributor,コントリビューター
contributors,Contributors,Contributeurs,Colaboradores,bijdragers,コントリビューター
converted,Converted,Converti,Convertido,Omgebouwd,変換済み
converting,Converting,Conversion en cours,,Conversie bezig,変換中
copy-paste,Copy/Paste,Copier/Coller,,Kopiëren/plakken,コピー／貼り付け
copy,Copy,Copier,,Kopiëren,コピー
core-cannot-be-reached,Error of communication with Cytomine core,Erreur de communication avec le backend de Cytomine,Error de comunicación con el núcleo de Cytomine,Communicatiefout met Cytomine-backend,Cytomineコアとの通信エラー
count-active-users,no active user | one active user | {count} active users,aucun utilisateur actif | un utilisateur actif | {count} utilisateurs actifs,sin usuario activo | un usuario activo | {count} usuarios activos,geen actieve user | een actieve user | {count} actieve users,アクティブなユーザーなし | アクティブなユーザー 1人 | アクティブなユーザー {count}人
